"""Politeknik Negeri Bengkalis""","Kab. Bengkalis, Prov. Riau","Rp500.000 - 3.000.000","Baik Sekali","26 Program Studi","52.21 % per tahun"
"""Universitas Papua""","Kab. Manokwari, Prov. Papua Barat","Rp -","Baik Sekali","66 Program Studi","40.99 % per tahun"
"""Institut Seni Budaya Indonesia Bandung""","Kota Bandung, Prov. Jawa Barat","Rp500.000 - 12.500.000","Baik Sekali","17 Program Studi","47.94 % per tahun"
"""Politeknik Manufaktur Negeri Bangka Belitung""","Kab. Bangka, Prov. Bangka Belitung","Rp500.000 - 6.000.000","Baik","11 Program Studi","65.42 % per tahun"
"""Politeknik Perikanan Negeri Tual""","Kab. Maluku Tenggara, Prov. Maluku","Rp -","Baik Sekali","10 Program Studi","31.68 % per tahun"
"""Universitas Brawijaya""","Kota Malang, Prov. Jawa Timur","Rp -","Unggul","198 Program Studi","..."
"""Politeknik Negeri Ketapang""","Kab. Ketapang, Prov. Kalimantan Barat","Rp500.000 - 123.456.789","Baik","16 Program Studi","..."
"""Universitas Negeri Medan""","Kota Medan, Prov. Sumatera Utara","Rp250.000 - 62.500.000","A","112 Program Studi","..."
"""Universitas Sebelas Maret""","Kota Surakarta, Prov. Jawa Tengah","Rp139.065 - 161.400.000","Unggul","236 Program Studi","..."
"""Akademi Komunitas Negeri Seni dan Budaya Yogyakarta""","Kota Yogyakarta, Prov. D.I. Yogyakarta","Rp -","Tidak Terakreditasi","3 Program Studi","..."
"""Institut Seni Budaya Indonesia Tanah Papua""","Kab. Jayapura, Prov. Papua","Rp650.000 - 850.000","Tidak Terakreditasi","5 Program Studi","..."
"""Universitas Sam Ratulangi""","Kota Manado, Prov. Sulawesi Utara","Rp1 - 48.000.000","Unggul","94 Program Studi","..."
"""Institut Teknologi Bacharuddin Jusuf Habibie""","Kota Pare-Pare, Prov. Sulawesi Selatan","Rp500.000 - 3.000.000","Baik","12 Program Studi","..."
"""Politeknik Negeri Bandung""","Kota Bandung, Prov. Jawa Barat","Rp125.000 - 15.000.000","Unggul","45 Program Studi","..."
"""Universitas Andalas""","Kota Padang, Prov. Sumatera Barat","Rp500.000 - 189.500.000","Unggul","202 Program Studi","..."
"""Universitas Sultan Ageng Tirtayasa""","Kab. Serang, Prov. Banten","Rp500.000 - 22.000.000","Unggul","90 Program Studi","..."
"""Universitas Padjadjaran""","Kab. Sumedang, Prov. Jawa Barat","Rp100.000 - 333.000.000","Unggul","247 Program Studi","..."
"""Universitas Pendidikan Indonesia""","Kota Bandung, Prov. Jawa Barat","Rp1 - 36.000.001","Unggul","224 Program Studi","..."
"""Universitas Sulawesi Barat""","Kab. Majene, Prov. Sulawesi Barat","Rp250.000 - 3.000.000","Baik","45 Program Studi","..."
"""Universitas Mataram""","Kota Mataram, Prov. Nusa Tenggara Barat","Rp250.000 - 122.000.000","Baik Sekali","88 Program Studi","..."
"""Universitas Gadjah Mada""","Kab. Sleman, Prov. D.I. Yogyakarta","Rp1 - 23.000.000","Unggul","349 Program Studi","..."
"""Institut Seni Indonesia Yogyakarta""","Kab. Bantul, Prov. D.I. Yogyakarta","Rp1 - 12.000.000","A","44 Program Studi","..."
"""Universitas Negeri Gorontalo""","Kota Gorontalo, Prov. Gorontalo","Rp425.000 - 25.000.000","Unggul","141 Program Studi","..."
"""Institut Teknologi Sepuluh Nopember""","Kota Surabaya, Prov. Jawa Timur","Rp -","Unggul","111 Program Studi","..."
"""Universitas Cenderawasih""","Kota Jayapura, Prov. Papua","Rp500.000 - 9.000.000","B","93 Program Studi","..."
"""Universitas Negeri Surabaya""","Kota Surabaya, Prov. Jawa Timur","Rp500.000 - 30.000.000","Unggul","216 Program Studi","..."
"""Universitas Teuku Umar""","Kab. Aceh Barat, Prov. Aceh","Rp250.000 - 11.500.000","Baik Sekali","28 Program Studi","..."
"""Politeknik Negeri Padang""","Kota Padang, Prov. Sumatera Barat","Rp250.000 - 10.000.000","Baik Sekali","52 Program Studi","..."
"""Politeknik Negeri Sriwijaya""","Kota Palembang, Prov. Sumatera Selatan","Rp500.000 - 13.500.000","Baik Sekali","49 Program Studi","..."
"""Universitas Negeri Manado""","Kab. Minahasa, Prov. Sulawesi Utara","Rp800.000 - 29.760.000","B","93 Program Studi","..."
"""Politeknik Pertanian Negeri Kupang""","Kota Kupang, Prov. Nusa Tenggara Timur","Rp500.000 - 5.000.000","B","27 Program Studi","..."
"""Universitas Syiah Kuala""","Kota Banda Aceh, Prov. Aceh","Rp500.000 - 14.500.000","Unggul","169 Program Studi","..."
"""Politeknik Negeri Ambon""","Kota Ambon, Prov. Maluku","Rp750.000 - 15.000.000","B","21 Program Studi","..."
"""Universitas Nusa Cendana""","Kota Kupang, Prov. Nusa Tenggara Timur","Rp265.000 - 117.600.000","Unggul","80 Program Studi","..."
"""Universitas Negeri Makassar""","Kota Makassar, Prov. Sulawesi Selatan","Rp500.000 - 127.500.000","Unggul","166 Program Studi","..."
"""Politeknik Negeri Kupang""","Kota Kupang, Prov. Nusa Tenggara Timur","Rp1 - 500.000.000","Baik","20 Program Studi","..."
"""Universitas Terbuka""","Kota tangerang Selatan, Prov. Banten","Rp1.185.157 - 2.600.000","A","51 Program Studi","..."
"""Universitas Sumatera Utara""","Kota Medan, Prov. Sumatera Utara","Rp500.000 - 30.000.000","Unggul","209 Program Studi","..."
"""Institut Seni Budaya Indonesia Aceh""","Kab. Aceh Besar, Prov. Aceh","Rp500.000 - 3.500.000","Baik","10 Program Studi","..."
"""Universitas Diponegoro""","Kota Semarang, Prov. Jawa Tengah","Rp500.000 - 70.000.000","Unggul","200 Program Studi","..."
"""Akademi Komunitas Negeri Aceh Barat""","Kab. Aceh Barat, Prov. Aceh","Rp -","Baik","3 Program Studi","..."
"""Politeknik Negeri Media Kreatif""","Kota Jakarta Selatan, Prov. D.K.I. Jakarta","Rp125.000 - 10.000.000","Baik Sekali","24 Program Studi","..."
"""Universitas Musamus Merauke""","Kab. Merauke, Prov. Papua","Rp1 - 13.500.000","Baik Sekali","37 Program Studi","..."
"""Universitas Jember""","Kab. Jember, Prov. Jawa Timur","Rp166.000 - 25.000.000","Unggul","127 Program Studi","..."
"""Universitas Hasanuddin""","Kota Makassar, Prov. Sulawesi Selatan","Rp1 - 24.500.000","Unggul","243 Program Studi","..."
"""Politeknik Negeri Banyuwangi""","Kab. Banyuwangi, Prov. Jawa Timur","Rp500.000 - 7.000.000","Baik Sekali","20 Program Studi","..."
"""Universitas Palangka Raya""","Kota Palangka Raya, Prov. Kalimantan Tengah","Rp2.500.000 - 60.000.000","Baik Sekali","77 Program Studi","..."
"""Universitas Lampung""","Kota Bandar Lampung, Prov. Lampung","Rp500.000 - 28.450.000","Unggul","154 Program Studi","..."
"""Politeknik Negeri Lhokseumawe""","Kota Lhokseumawe, Prov. Aceh","Rp500.000 - 4.250.000","Baik Sekali","40 Program Studi","56.28 % per tahun"
"""Politeknik Negeri Ujung Pandang""","Kota Makassar, Prov. Sulawesi Selatan","Rp1.000.000 - 4.323.000","Baik Sekali","63 Program Studi","62.47 % per tahun"
"""Politeknik Negeri Indramayu""","Kab. Indramayu, Prov. Jawa Barat","Rp500.000 - 9.000.000","Baik","12 Program Studi","48.28 % per tahun"
"""Politeknik Negeri Batam""","Kota Batam, Prov. Kepulauan Riau","Rp500.000 - 37.000.000","Baik Sekali","30 Program Studi","35.41 % per tahun"
"""Universitas Trunojoyo""","Kab. Bangkalan, Prov. Jawa Timur","Rp200.000 - 33.300.000","Unggul","37 Program Studi","..."
"""Politeknik Perkapalan Negeri Surabaya""","Kota Surabaya, Prov. Jawa Timur","Rp500.000 - 9.500.000","Unggul","24 Program Studi","..."
"""Politeknik Negeri Jakarta""","Kota Depok, Prov. Jawa Barat","Rp1 - 12.500.000","Unggul","54 Program Studi","..."
"""Universitas Airlangga""","Kota Surabaya, Prov. Jawa Timur","Rp1.000.000 - 20.000.000","Unggul","227 Program Studi","..."
"""Sekolah Tinggi Seni Indonesia Bandung""","Kota Bandung, Prov. Jawa Barat","Rp -","Tidak Terakreditasi","10 Program Studi","..."
"""Politeknik Maritim Negeri Indonesia""","Kota Semarang, Prov. Jawa Tengah","Rp4.000.000 - 4.000.000","Baik Sekali","8 Program Studi","..."
"""Politeknik Elektronika Negeri Surabaya""","Kota Surabaya, Prov. Jawa Timur","Rp500.000 - 45.000.000","Unggul","39 Program Studi","..."
"""Politeknik Negeri Malang""","Kota Malang, Prov. Jawa Timur","Rp500.000 - 19.000.000","B","69 Program Studi","..."
