1,26 Program Studi,52.21 % per tahun,Rp500.000 - 3.000.000,Baik Sekali,"Kab. Bengkalis, Prov. Riau",Politeknik Negeri Bengkalis,1.4592972115284806,102.15144523504843
2,66 Program Studi,40.99 % per tahun,Rp -,Baik Sekali,"Kab. Manokwari, Prov. Papua Barat",Universitas Papua,-0.8338344712770682,134.06985870439058
11,5 Program Studi,...,Rp650.000 - 850.000,Tidak Terakreditasi,"Kab. Jayapura, Prov. Papua",Institut Seni Budaya Indonesia Tanah Papua,-2.580365330222309,140.6493559799583
25,93 Program Studi,...,Rp500.000 - 9.000.000,B,"Kota Jayapura, Prov. Papua",Universitas Cenderawasih,-2.5813495714116685,140.65621912949462
3,17 Program Studi,47.94 % per tahun,Rp500.000 - 12.500.000,Baik Sekali,"Kota Bandung, Prov. Jawa Barat",Institut Seni Budaya Indonesia Bandung,-6.942737038813437,107.62804508516723
4,11 Program Studi,65.42 % per tahun,Rp500.000 - 6.000.000,Baik,"Kab. Bangka, Prov. Bangka Belitung",Politeknik Manufaktur Negeri Bangka Belitung,-1.852037495048019,106.13153399387622
5,10 Program Studi,31.68 % per tahun,Rp -,Baik Sekali,"Kab. Maluku Tenggara, Prov. Maluku",Politeknik Perikanan Negeri Tual,-5.714747491828616,132.74702150248777
6,198 Program Studi,...,Rp -,Unggul,"Kota Malang, Prov. Jawa Timur",Universitas Brawijaya,-7.952050658755407,112.61366411334791
8,112 Program Studi,...,Rp250.000 - 62.500.000,A,"Kota Medan, Prov. Sumatera Utara",Universitas Negeri Medan,3.6087148754069482,98.71700062491698
12,94 Program Studi,...,Rp1 - 48.000.000,Unggul,"Kota Manado, Prov. Sulawesi Utara",Universitas Sam Ratulangi,1.4560575436767833,124.82805415914801
13,12 Program Studi,...,Rp500.000 - 3.000.000,Baik,"Kota Pare-Pare, Prov. Sulawesi Selatan",Institut Teknologi Bacharuddin Jusuf Habibie,-4.028454832549179,119.6339720657056
14,45 Program Studi,...,Rp125.000 - 15.000.000,Unggul,"Kota Bandung, Prov. Jawa Barat",Politeknik Negeri Bandung,-6.871922708646484,107.57448305840398
15,202 Program Studi,...,Rp500.000 - 189.500.000,Unggul,"Kota Padang, Prov. Sumatera Barat",Universitas Andalas,-0.9148218319607903,100.45875081330388
16,90 Program Studi,...,Rp500.000 - 22.000.000,Unggul,"Kab. Serang, Prov. Banten",Universitas Sultan Ageng Tirtayasa,-6.120777496191345,106.1947673466895
17,247 Program Studi,...,Rp100.000 - 333.000.000,Unggul,"Kab. Sumedang, Prov. Jawa Barat",Universitas Padjadjaran,-6.925968176807837,107.77469107578756
26,216 Program Studi,...,Rp500.000 - 30.000.000,Unggul,"Kota Surabaya, Prov. Jawa Timur",Universitas Negeri Surabaya,-7.314702557648047,112.72769454493312
27,28 Program Studi,...,Rp250.000 - 11.500.000,Baik Sekali,"Kab. Aceh Barat, Prov. Aceh",Universitas Teuku Umar,4.144831035093543,96.2037537258056
28,52 Program Studi,...,Rp250.000 - 10.000.000,Baik Sekali,"Kota Padang, Prov. Sumatera Barat",Politeknik Negeri Padang,-0.9140634159100332,100.46711383975983
29,49 Program Studi,...,Rp500.000 - 13.500.000,Baik Sekali,"Kota Palembang, Prov. Sumatera Selatan",Politeknik Negeri Sriwijaya,-2.9838423002792145,104.73320271888012
30,93 Program Studi,...,Rp800.000 - 29.760.000,B,"Kab. Minahasa, Prov. Sulawesi Utara",Universitas Negeri Manado,1.2669919425004175,124.88408962107934
31,27 Program Studi,...,Rp500.000 - 5.000.000,B,"Kota Kupang, Prov. Nusa Tenggara Timur",Politeknik Pertanian Negeri Kupang,-10.151575318217942,123.67121304161694
32,169 Program Studi,...,Rp500.000 - 14.500.000,Unggul,"Kota Banda Aceh, Prov. Aceh",Universitas Syiah Kuala,5.570412259456481,95.37143539633479
33,21 Program Studi,...,Rp750.000 - 15.000.000,B,"Kota Ambon, Prov. Maluku",Politeknik Negeri Ambon,-3.658708056992583,128.18108258482025
34,80 Program Studi,...,Rp265.000 - 117.600.000,Unggul,"Kota Kupang, Prov. Nusa Tenggara Timur",Universitas Nusa Cendana,-10.152329199822843,123.65871447455262
35,166 Program Studi,...,Rp500.000 - 127.500.000,Unggul,"Kota Makassar, Prov. Sulawesi Selatan",Universitas Negeri Makassar,-5.168543814121199,119.43611744411086
36,20 Program Studi,...,Rp1 - 500.000.000,Baik,"Kota Kupang, Prov. Nusa Tenggara Timur",Politeknik Negeri Kupang,-10.152012984583852,123.66854065351725
37,51 Program Studi,...,Rp1.185.157 - 2.600.000,A,"Kota tangerang Selatan, Prov. Banten",Universitas Terbuka,-6.339217372113748,106.75858573555192
39,10 Program Studi,...,Rp500.000 - 3.500.000,Baik,"Kab. Aceh Besar, Prov. Aceh",Institut Seni Budaya Indonesia Aceh,5.296118012531049,95.60612768207831
40,200 Program Studi,...,Rp500.000 - 70.000.000,Unggul,"Kota Semarang, Prov. Jawa Tengah",Universitas Diponegoro,-7.051515297453086,110.44084332023849
41,3 Program Studi,...,Rp -,Baik,"Kab. Aceh Barat, Prov. Aceh",Akademi Komunitas Negeri Aceh Barat,4.138466675639965,96.21111155060038
42,24 Program Studi,...,Rp125.000 - 10.000.000,Baik Sekali,"Kota Jakarta Selatan, Prov. D.K.I. Jakarta",Politeknik Negeri Media Kreatif,-6.346797390708885,106.82737239880754
43,37 Program Studi,...,Rp1 - 13.500.000,Baik Sekali,"Kab. Merauke, Prov. Papua",Universitas Musamus Merauke,-8.531516896684792,140.4175722331971
44,127 Program Studi,...,Rp166.000 - 25.000.000,Unggul,"Kab. Jember, Prov. Jawa Timur",Universitas Jember,-8.164266268091778,113.71658544424987
45,243 Program Studi,...,Rp1 - 24.500.000,Unggul,"Kota Makassar, Prov. Sulawesi Selatan",Universitas Hasanuddin,-5.133863622743949,119.48860090794186
46,20 Program Studi,...,Rp500.000 - 7.000.000,Baik Sekali,"Kab. Banyuwangi, Prov. Jawa Timur",Politeknik Negeri Banyuwangi,-8.293181719070962,114.3076620913173
58,8 Program Studi,...,Rp4.000.000 - 4.000.000,Baik Sekali,"Kota Semarang, Prov. Jawa Tengah",Politeknik Maritim Negeri Indonesia,-7.017368182755508,110.3989344769043
59,39 Program Studi,...,Rp500.000 - 45.000.000,Unggul,"Kota Surabaya, Prov. Jawa Timur",Politeknik Elektronika Negeri Surabaya,-7.275252949895056,112.79413847010083
60,69 Program Studi,...,Rp500.000 - 19.000.000,B,"Kota Malang, Prov. Jawa Timur",Politeknik Negeri Malang,-7.946580873680486,112.61675180055659
61,30 Program Studi,...,Rp2.400.000 - 2.400.000,B,"Kota Medan, Prov. Sumatera Utara",Politeknik Negeri Medan,3.563528319777243,98.65540753424486
62,175 Program Studi,...,Rp1.200 - 25.500.000,Unggul,"Kota Malang, Prov. Jawa Timur",Universitas Negeri Malang,-7.960144384860345,112.61857916597089
63,196 Program Studi,...,Rp1 - 3.000.000,Unggul,"Kab. Sleman, Prov. D.I. Yogyakarta",Universitas Negeri Yogyakarta,-7.773379435561025,110.38708649760005
64,36 Program Studi,...,Rp500.000 - 2.400.000,Baik Sekali,"Kota Langsa, Prov. Aceh",Universitas Samudra,4.458178581335716,97.9725607248276
65,24 Program Studi,...,Rp500.000 - 11.000.000,Baik Sekali,"Kota Bandung, Prov. Jawa Barat",Politeknik Manufaktur Bandung,-6.876907533180071,107.62120100526099
66,50 Program Studi,...,Rp75.000 - 25.000.000,B,"Kab. Aceh Utara, Prov. Aceh",Universitas Malikussaleh,5.233367421704108,96.98647505288662
67,34 Program Studi,...,Rp240.000 - 170.350.000,B,"Kab. Bangka, Prov. Bangka Belitung",Universitas Bangka Belitung,-2.07069733589331,106.07930372625756
70,39 Program Studi,...,Rp -,Baik Sekali,"Kota Tasikmalaya, Prov. Jawa Barat",Universitas Siliwangi,-7.350245793282234,108.22247113369649
7,16 Program Studi,...,Rp500.000 - 123.456.789,Baik,"Kab. Ketapang, Prov. Kalimantan Barat",Politeknik Negeri Ketapang,-1.8165168744700537,109.98929926479533
9,236 Program Studi,...,Rp139.065 - 161.400.000,Unggul,"Kota Surakarta, Prov. Jawa Tengah",Universitas Sebelas Maret,-7.559226302303981,110.85684053546956
10,3 Program Studi,...,Rp -,Tidak Terakreditasi,"Kota Yogyakarta, Prov. D.I. Yogyakarta",Akademi Komunitas Negeri Seni dan Budaya Yogyakarta,-7.8426826305645605,110.36193483291916
